# r_bohr,V_hartree
2.862443113772454950e+01,2.205556363743742601e-03
2.865868263473053901e+01,2.205619858402419267e-03
2.869293413173652496e+01,2.205681939102414457e-03
2.872718562874251447e+01,2.205742635119724293e-03
2.876143712574850397e+01,2.205801975187595028e-03
2.879568862275448993e+01,2.205859987504762542e-03
2.882994011976047943e+01,2.205916699743617690e-03
2.886419161676646539e+01,2.205972139058306157e-03
2.889844311377245489e+01,2.206026332092747219e-03
2.893269461077844085e+01,2.206079304988583980e-03
2.896694610778443035e+01,2.206131083393054679e-03
2.900119760479041986e+01,2.206181692466790707e-03
2.903544910179640581e+01,2.206231156891532656e-03
2.906970059880239532e+01,2.206279500877775680e-03
2.910395209580838127e+01,2.206326748172329853e-03
2.913820359281437078e+01,2.206372922065804199e-03
2.917245508982036029e+01,2.206418045400012663e-03
2.920670658682634624e+01,2.206462140575298110e-03
2.924095808383233575e+01,2.206505229557773930e-03
2.927520958083832170e+01,2.206547333886490613e-03
2.930946107784431121e+01,2.206588474680513858e-03
2.934371257485029716e+01,2.206628672645928949e-03
2.937796407185628667e+01,2.206667948082754929e-03
2.941221556886227617e+01,2.206706320891786352e-03
2.944646706586826213e+01,2.206743810581343959e-03
2.948071856287425163e+01,2.206780436273951627e-03
2.951497005988023759e+01,2.206816216712923981e-03
2.954922155688622709e+01,2.206851170268877681e-03
2.958347305389221660e+01,2.206885314946158139e-03
2.961772455089820255e+01,2.206918668389184265e-03
2.965197604790419206e+01,2.206951247888712560e-03
2.968622754491017801e+01,2.206983070388017932e-03
2.972047904191616752e+01,2.207014152488997322e-03
2.975473053892215347e+01,2.207044510458185289e-03
2.978898203592814298e+01,2.207074160232695877e-03
2.982323353293413248e+01,2.207103117426079467e-03
2.985748502994011844e+01,2.207131397334101582e-03
2.989173652694610794e+01,2.207159014940439715e-03
2.992598802395209390e+01,2.207185984922302533e-03
2.996023952095808340e+01,2.207212321655970585e-03
2.999449101796407291e+01,2.207238039222255907e-03
3.002874251497005886e+01,2.207263151411884439e-03
3.006299401197604837e+01,2.207287671730802543e-03
3.009724550898203432e+01,2.207311613405403723e-03
3.013149700598802383e+01,2.207334989387679455e-03
3.016574850299400978e+01,2.207357812360294987e-03
